diff;diff2;timebin;season;SA;Estimate_log;pd_log;Estimate_logexp;pd_logexp
55 - 50;NA;NA;NA;NA;-0.02 [-0.09, 0.03];80.73%;-0.04 [-0.19, 0.08];80.73%
60 - 55;NA;NA;FALSE;SA;-0.02 [-0.10, 0.05];71.80%;-0.04 [-0.23, 0.14];71.80%
60 - 55;NA;NA;FALSE;nonSA;-0.01 [-0.09, 0.06];64.12%;-0.03 [-0.21, 0.17];64.12%
60 - 55;NA;NA;FALSE;NA;-0.01 [-0.09, 0.06];68.20%;-0.03 [-0.22, 0.15];68.20%
60 - 55;NA;NA;TRUE;SA;-0.03 [-0.11, 0.04];88.15%;-0.05 [-0.19, 0.07];88.15%
60 - 55;NA;NA;TRUE;nonSA;-0.03 [-0.11, 0.04];84.97%;-0.06 [-0.22, 0.09];84.97%
60 - 55;NA;NA;TRUE;NA;-0.03 [-0.11, 0.04];87.28%;-0.06 [-0.21, 0.08];87.28%
60 - 55;NA;NA;NA;SA;-0.02 [-0.11, 0.04];82.67%;-0.05 [-0.21, 0.10];82.67%
60 - 55;NA;NA;NA;nonSA;-0.02 [-0.10, 0.05];77.18%;-0.04 [-0.21, 0.12];77.18%
60 - 55;NA;NA;NA;NA;-0.02 [-0.10, 0.05];80.73%;-0.04 [-0.21, 0.11];80.73%
65 - 60;NA;NA;FALSE;SA;-0.03 [-0.13, 0.06];77.30%;-0.06 [-0.27, 0.18];77.30%
65 - 60;NA;NA;FALSE;nonSA;-0.02 [-0.12, 0.07];72.02%;-0.05 [-0.26, 0.20];72.02%
65 - 60;NA;NA;FALSE;NA;-0.02 [-0.12, 0.07];75.00%;-0.05 [-0.26, 0.19];75.00%
65 - 60;NA;NA;TRUE;SA;-0.04 [-0.14, 0.05];85.47%;-0.06 [-0.21, 0.11];85.47%
65 - 60;NA;NA;TRUE;nonSA;-0.03 [-0.13, 0.06];82.62%;-0.07 [-0.24, 0.13];82.62%
65 - 60;NA;NA;TRUE;NA;-0.04 [-0.14, 0.05];84.38%;-0.06 [-0.22, 0.12];84.38%
65 - 60;NA;NA;NA;SA;-0.03 [-0.13, 0.06];82.30%;-0.06 [-0.24, 0.13];82.30%
65 - 60;NA;NA;NA;nonSA;-0.03 [-0.13, 0.06];78.67%;-0.06 [-0.25, 0.16];78.67%
65 - 60;NA;NA;NA;NA;-0.03 [-0.13, 0.06];80.73%;-0.06 [-0.24, 0.15];80.73%
70 - 65;NA;NA;FALSE;SA;-0.01 [-0.06, 0.03];67.70%;-0.02 [-0.13, 0.09];67.70%
70 - 65;NA;NA;FALSE;nonSA;-0.00 [-0.06, 0.04];57.93%;-0.01 [-0.13, 0.12];57.93%
70 - 65;NA;NA;FALSE;NA;-0.00 [-0.06, 0.03];62.98%;-0.01 [-0.13, 0.10];62.98%
70 - 65;NA;NA;TRUE;SA;-0.02 [-0.08, 0.02];88.33%;-0.03 [-0.11, 0.04];88.33%
70 - 65;NA;NA;TRUE;nonSA;-0.02 [-0.07, 0.02];83.85%;-0.03 [-0.13, 0.05];83.85%
70 - 65;NA;NA;TRUE;NA;-0.02 [-0.07, 0.02];88.20%;-0.03 [-0.12, 0.04];88.20%
70 - 65;NA;NA;NA;SA;-0.01 [-0.07, 0.02];82.80%;-0.02 [-0.12, 0.06];82.80%
70 - 65;NA;NA;NA;nonSA;-0.01 [-0.06, 0.03];74.38%;-0.02 [-0.13, 0.08];74.38%
70 - 65;NA;NA;NA;NA;-0.01 [-0.07, 0.02];80.73%;-0.02 [-0.12, 0.07];80.73%
75 - 70;NA;NA;FALSE;SA;-0.03 [-0.13, 0.06];78.25%;-0.06 [-0.24, 0.20];78.25%
75 - 70;NA;NA;FALSE;nonSA;-0.02 [-0.12, 0.07];75.05%;-0.05 [-0.23, 0.22];75.05%
75 - 70;NA;NA;FALSE;NA;-0.03 [-0.13, 0.06];77.00%;-0.06 [-0.23, 0.21];77.00%
75 - 70;NA;NA;TRUE;SA;-0.04 [-0.14, 0.06];83.97%;-0.05 [-0.17, 0.12];83.97%
75 - 70;NA;NA;TRUE;nonSA;-0.03 [-0.13, 0.06];82.53%;-0.06 [-0.20, 0.14];82.53%
75 - 70;NA;NA;TRUE;NA;-0.03 [-0.13, 0.06];83.50%;-0.06 [-0.18, 0.13];83.50%
75 - 70;NA;NA;NA;SA;-0.03 [-0.13, 0.06];81.53%;-0.06 [-0.20, 0.15];81.53%
75 - 70;NA;NA;NA;nonSA;-0.03 [-0.13, 0.06];79.22%;-0.06 [-0.21, 0.18];79.22%
75 - 70;NA;NA;NA;NA;-0.03 [-0.13, 0.06];80.73%;-0.06 [-0.20, 0.17];80.73%
80 - 75;NA;NA;FALSE;SA;-0.02 [-0.10, 0.05];77.33%;-0.05 [-0.18, 0.17];77.33%
