Activity_type,Seasonal,SA,Time_bin,scale,Estimate,ETI_low,ETI_high
physical,FALSE,SA,70,explog,2.34521085612958,1.58431379082628,3.40614254332503
NA,FALSE,SA,70,log,0.827393871004419,0.486138277061894,1.16288227691974
NA,FALSE,SA,70,explog,2.28734984108973,1.62602483875653,3.19914082233582
mental,FALSE,nonSA,70,log,0.811977863090002,0.433146305909174,1.19071274658985
mental,FALSE,nonSA,70,explog,2.25235844090493,1.54210183473799,3.28942490343437
physical,FALSE,nonSA,70,log,0.884565404637144,0.495871433900768,1.26526559928336
physical,FALSE,nonSA,70,explog,2.42193160252345,1.64192845415107,3.5440339042704
NA,FALSE,nonSA,70,log,0.848906516361395,0.501513788441631,1.1820597799146
NA,FALSE,nonSA,70,explog,2.33708988470496,1.65121897880007,3.26108457807235
mental,FALSE,NA,70,log,0.809023074159056,0.42746066585081,1.18320480584808
mental,FALSE,NA,70,explog,2.24571302686785,1.53335887232798,3.26482057200821
physical,FALSE,NA,70,log,0.86813837196013,0.479198283350913,1.24708318901524
physical,FALSE,NA,70,explog,2.38247144842756,1.61477929085964,3.48017712010172
NA,FALSE,NA,70,log,0.837147046384527,0.490577314526065,1.17599102952158
NA,FALSE,NA,70,explog,2.30976790715764,1.63325885480868,3.24135365726271
mental,FALSE,SA,75,log,0.843728628940933,0.447614856236069,1.23076137462878
mental,FALSE,SA,75,explog,2.32501998964093,1.56457599419694,3.42383536965513
physical,FALSE,SA,75,log,0.818562716324769,0.42157422653851,1.19850285560781
physical,FALSE,SA,75,explog,2.26723883036228,1.52435946022613,3.31515008713203
NA,FALSE,SA,75,log,0.83149295992732,0.482365452728847,1.17541452746255
NA,FALSE,SA,75,explog,2.29674516409058,1.6199017303899,3.23948552180787
mental,FALSE,nonSA,75,log,0.851276177334697,0.456100351908933,1.24551470015406
mental,FALSE,nonSA,75,explog,2.3426345934834,1.57790868348238,3.47472278164233
physical,FALSE,nonSA,75,log,0.853347477269543,0.45046019764207,1.24101508721528
physical,FALSE,nonSA,75,explog,2.34749189103437,1.56903409820003,3.45912310683705
NA,FALSE,nonSA,75,log,0.85563987497313,0.501286428029325,1.19791529948532
NA,FALSE,nonSA,75,explog,2.35287944768401,1.65084360856907,3.31320268318534
mental,FALSE,NA,75,log,0.848090851642362,0.45145995674063,1.23360257781162
mental,FALSE,NA,75,explog,2.3351843804023,1.57060352605016,3.43357704496323
physical,FALSE,NA,75,log,0.834945468704203,0.435305296682865,1.22046304497221
physical,FALSE,NA,75,explog,2.30468837372383,1.54543480342018,3.38875654385163
NA,FALSE,NA,75,log,0.842633463664565,0.487900448866283,1.18800861924796
NA,FALSE,NA,75,explog,2.32247508437074,1.6288926866474,3.28054196915524
mental,FALSE,SA,80,log,0.887575279760377,0.483022164628253,1.28154438931385
mental,FALSE,SA,80,explog,2.42923232514803,1.62096584155725,3.60219863267426
physical,FALSE,SA,80,log,0.779688887207094,0.37030518739092,1.176959201246
physical,FALSE,SA,80,explog,2.18079369189062,1.44817651379001,3.24449335396332
NA,FALSE,SA,80,log,0.833965752629693,0.475766814650185,1.1847596421094
NA,FALSE,SA,80,explog,2.30243154714787,1.60924775695043,3.26990082191433
mental,FALSE,nonSA,80,log,0.892243848975708,0.495894781182311,1.29467245856525
mental,FALSE,nonSA,80,explog,2.44059984949699,1.6419669527797,3.64980031768725
physical,FALSE,nonSA,80,log,0.820577948495009,0.407322749587148,1.2138384826429
physical,FALSE,nonSA,80,explog,2.27181245475645,1.50278917289841,3.36638168309113
NA,FALSE,nonSA,80,log,0.859760655146733,0.494349127909399,1.20593403999536
NA,FALSE,nonSA,80,explog,2.36259516264394,1.63943083704709,3.33987732513597
mental,FALSE,NA,80,log,0.890449675835308,0.488401281471507,1.28828515580084
mental,FALSE,NA,80,explog,2.43622493563757,1.62970869080634,3.62656229235017
physical,FALSE,NA,80,log,0.799503626203164,0.382832725529974,1.19327728692333
physical,FALSE,NA,80,explog,2.22443654649888,1.46643271293408,3.2978716436203
NA,FALSE,NA,80,log,0.847175579805492,0.484888580020497,1.1961427314616
NA,FALSE,NA,80,explog,2.33304803414175,1.623994057888,3.30733500775687
mental,FALSE,SA,85,log,0.91947029712789,0.50365251346172,1.33551300243719
mental,FALSE,SA,85,explog,2.50796156395181,1.65475444576465,3.80194586142823
physical,FALSE,SA,85,log,0.751876993511364,0.319403056892952,1.15509866656368
physical,FALSE,SA,85,explog,2.12097734889992,1.37630595680893,3.17433682881003
NA,FALSE,SA,85,log,0.836595362680022,0.465924286299223,1.19797477715759
NA,FALSE,SA,85,explog,2.30849399735383,1.59348634891582,3.31339977950353
mental,FALSE,nonSA,85,log,0.926261976851912,0.514680251933289,1.35120040219769
mental,FALSE,nonSA,85,explog,2.52505280881534,1.67310349658802,3.86205878350047
physical,FALSE,nonSA,85,log,0.798381082691075,0.359684650053678,1.20304762656817
physical,FALSE,nonSA,85,explog,2.2219408909412,1.43287803506253,3.33025104344223
NA,FALSE,nonSA,85,log,0.8661600034576,0.48681501930575,1.22765483056879
NA,FALSE,nonSA,85,explog,2.37776271927243,1.62712566637374,3.41321568943657
mental,FALSE,NA,85,log,0.923082719750403,0.514420797901638,1.34117891678282
mental,FALSE,NA,85,explog,2.51703777259113,1.67266960638915,3.82354851003696
physical,FALSE,NA,85,log,0.774280597825759,0.339549745911537,1.17763787825676
physical,FALSE,NA,85,explog,2.16903116709904,1.40431538211463,3.2466961751396
NA,FALSE,NA,85,log,0.851259365887113,0.480047008701567,1.21650798644587
NA,FALSE,NA,85,explog,2.34259517969101,1.61615037410096,3.37538026986053
